OCCUPATION,IF_OCCUPATION_HAZARDOUS,GENDER,AGE,STATE_OF_PROPOSAL
SALESREPRESENTATIVE,N,F,43,DRAFT
PHYSIOTHERAPY,N,M,34,DRAFT
DRIVINGINSTRUCTOR,Y,M,31,DRAFT
SECRETARY,N,F,30,DRAFT
CATERER,Y,F,29,DRAFT
TEACHER,N,F,38,DRAFT
BUSINESSMAN/WOMAN,N,F,30,DRAFT
TEACHER,N,M,27,DRAFT
BUSINESSMAN/WOMAN,N,M,29,DRAFT
HR,N,F,45,DRAFT
ADMINISTRATOR,N,M,33,DRAFT
TEACHER,N,M,50,DRAFT
PHYSIOTHERAPY,N,M,38,DRAFT
AUDITOR,N,M,33,DRAFT
PHYSIOTHERAPY,N,M,30,DRAFT
COOK,Y,M,30,DRAFT
LABTECHNICIAN,Y,F,46,DRAFT
CARPENTER,Y,M,35,DRAFT
PHYSIOTHERAPY,N,F,31,DRAFT
CUSTOMSOFFICER,Y,M,37,DRAFT
ENGINEER,Y,M,28,DRAFT
STUDENT,N,M,30,CONVERTED
PHYSIOTHERAPY,N,M,26,DRAFT
DRIVINGINSTRUCTOR,Y,M,36,DRAFT
MARKETINGPERSONEL,N,F,42,DRAFT
SECURITYFORCE,Y,M,40,DRAFT
TEACHER,N,F,33,DRAFT
MASON,Y,M,36,DRAFT
BANKING,N,F,33,DRAFT
POLICE,Y,M,34,DRAFT
SOLDIER,Y,M,36,DRAFT
NURSING,N,F,34,DRAFT
SALESREPRESENTATIVE,N,F,32,DRAFT
TEACHER,N,F,34,DRAFT
POLICE,Y,M,35,DRAFT
PHYSIOTHERAPY,N,M,32,DRAFT
PHYSIOTHERAPY,N,M,36,DRAFT
TEACHER,N,M,35,DRAFT
PHYSIOTHERAPY,N,M,47,DRAFT
PHYSIOTHERAPY,N,M,32,DRAFT
NURSING,N,F,29,CONVERTED
PHYSIOTHERAPY,N,M,37,DRAFT
SURVEYOR,Y,M,36,DRAFT
TEACHER,N,M,41,DRAFT
PHYSIOTHERAPY,N,M,35,DRAFT
TEACHER,N,F,43,DRAFT
BANKING,N,M,39,DRAFT
SECRETARY,N,F,47,DRAFT
NURSING,N,F,36,DRAFT
BUSINESSMAN/WOMAN,N,M,37,DRAFT
ENGINEER,Y,M,56,DRAFT
BANKING,N,F,36,DRAFT
NURSING,N,F,36,DRAFT
TEACHER,N,F,33,DRAFT
BUSINESSMAN/WOMAN,N,M,47,DRAFT
ACCOUNTSCLERK,N,M,40,DRAFT
POLICE,Y,M,43,DRAFT
DRIVINGINSTRUCTOR,Y,M,39,DRAFT
ELECTRICIAN,Y,M,45,DRAFT
ADMINISTRATOR,N,F,45,DRAFT
ARCHITECT,N,F,37,DRAFT
TEACHER,N,M,40,DRAFT
PHYSIOTHERAPY,N,M,43,DRAFT
TEACHER,N,M,34,DRAFT
PHYSIOTHERAPY,N,M,40,DRAFT
SECURITYFORCE,Y,F,55,DRAFT
PHYSIOTHERAPY,N,M,42,DRAFT
TEACHER,N,M,35,DRAFT
PHYSIOTHERAPY,N,F,35,DRAFT
TEACHER,N,M,31,DRAFT
NURSING,N,F,48,DRAFT
SELFEMPLOYED,N,M,35,DRAFT
NURSING,N,F,36,DRAFT
BUSINESSMAN/WOMAN,N,M,35,DRAFT
CASHIER,N,M,39,DRAFT
PHYSIOTHERAPY,N,M,35,DRAFT
PHYSIOTHERAPY,N,M,58,DRAFT
HEALTHWORKER,N,F,33,DRAFT
TEACHER,N,M,43,DRAFT
PHYSIOTHERAPY,N,M,29,DRAFT
SURVEYOR,Y,M,40,DRAFT
SALESREPRESENTATIVE,N,F,29,AUTHORIZED
TEACHER,N,F,32,AUTHORIZED
PHYSIOTHERAPY,N,M,36,DRAFT
TEACHER,N,F,37,DRAFT
TEACHER,N,M,32,DRAFT
ACCOUNTANT,N,M,53,AUTHORIZED
PHYSIOTHERAPY,N,M,36,AUTHORIZED
TEACHER,N,M,36,DRAFT
TEACHER,N,F,34,DRAFT
STUDENT,N,M,36,DRAFT
ELECTRICIAN,Y,M,33,DRAFT
PHYSIOTHERAPY,N,F,37,DRAFT
SECURITYFORCE,Y,M,34,DRAFT
STUDENT,N,F,32,DRAFT
TEACHER,N,M,33,DRAFT
CASHIER,N,F,30,DRAFT
PHYSIOTHERAPY,N,M,30,DRAFT
NURSING,N,F,33,DRAFT
PHYSIOTHERAPY,N,M,40,DRAFT
SEAMSTRESS/TAILORING,N,F,36,DRAFT
BANKING,N,F,35,DRAFT
BUSINESSMAN/WOMAN,N,M,37,DRAFT
MECHANIC,Y,M,40,DRAFT
SELFEMPLOYED,N,M,56,DRAFT
BUSINESSMAN/WOMAN,N,M,30,DRAFT
PHYSIOTHERAPY,N,M,41,DRAFT
ELECTRICIAN,Y,M,34,DRAFT
MECHANIC,Y,M,34,DRAFT
PHYSIOTHERAPY,N,M,33,DRAFT
SECURITYFORCE,Y,M,50,DRAFT
BUSINESSMAN/WOMAN,N,M,37,DRAFT
HAIRDRESSER/BEAUTICIAN,N,F,39,DRAFT
SALESREPRESENTATIVE,N,F,30,DRAFT
SALESREPRESENTATIVE,N,M,36,DRAFT
SECRETARY,N,F,36,DRAFT
SECURITYFORCE,Y,M,46,DRAFT
TEACHER,N,F,45,DRAFT
SHIPREPAIROFFICER,Y,M,42,DRAFT
SHIPREPAIROFFICER,Y,M,64,DRAFT
TRADER,N,M,46,DRAFT
SHIPREPAIROFFICER,Y,M,44,DRAFT
TEACHER,N,M,54,DRAFT
SHIPREPAIROFFICER,Y,M,48,DRAFT
SHIPREPAIROFFICER,Y,M,39,DRAFT
SHIPREPAIROFFICER,Y,M,51,DRAFT
SHIPREPAIROFFICER,Y,M,54,DRAFT
SHIPREPAIROFFICER,Y,F,41,DRAFT
SHIPREPAIROFFICER,Y,F,37,DRAFT
SHIPREPAIROFFICER,Y,M,49,DRAFT
SHIPREPAIROFFICER,Y,M,51,DRAFT
TEACHER,N,M,51,DRAFT
SHIPREPAIROFFICER,Y,M,58,DRAFT
TEACHER,N,F,54,DRAFT
SECURITYFORCE,Y,M,68,DRAFT
ENGINEER,Y,M,58,DRAFT
ENGINEER,Y,M,49,DRAFT
TEACHER,N,F,70,DRAFT
TEACHER,N,F,48,DRAFT
SHIPREPAIROFFICER,Y,F,41,DRAFT
TEACHER,N,M,48,DRAFT
SHIPREPAIROFFICER,Y,M,49,DRAFT
TRADER,N,M,60,DRAFT
TEACHER,N,M,68,DRAFT
SECURITYFORCE,Y,M,58,DRAFT
SOLDIER,Y,M,58,DRAFT
SHIPREPAIROFFICER,Y,M,52,DRAFT
SHIPREPAIROFFICER,Y,M,53,DRAFT
SECURITYFORCE,Y,M,51,DRAFT
SECURITYFORCE,Y,M,47,DRAFT
ENGINEER,Y,M,62,DRAFT
TRADINGCOMPANY,Y,F,55,DRAFT
SHIPREPAIROFFICER,Y,M,58,DRAFT
TRADER,N,F,53,DRAFT
SECRETARY,N,F,42,DRAFT
SHIPREPAIROFFICER,Y,M,42,DRAFT
SHIPREPAIROFFICER,Y,M,51,DRAFT
TRADER,N,F,62,DRAFT
SHIPREPAIROFFICER,Y,M,43,DRAFT
SHIPREPAIROFFICER,Y,M,68,DRAFT
SHIPREPAIROFFICER,Y,M,54,DRAFT
SHIPREPAIROFFICER,Y,M,59,DRAFT
SECURITYFORCE,Y,F,45,DRAFT
ACCOUNTSCLERK,N,M,69,DRAFT
SHIPREPAIROFFICER,Y,M,62,DRAFT
SECURITYFORCE,Y,M,56,DRAFT
BUSINESSMAN/WOMAN,N,M,58,DRAFT
SHIPREPAIROFFICER,Y,M,42,DRAFT
SHIPREPAIROFFICER,Y,M,57,DRAFT
SECURITYFORCE,Y,M,42,DRAFT
SHIPREPAIROFFICER,Y,M,45,DRAFT
SHIPREPAIROFFICER,Y,M,43,DRAFT
DRIVINGINSTRUCTOR,Y,M,48,DRAFT
SHIPREPAIROFFICER,Y,F,39,DRAFT
SHIPREPAIROFFICER,Y,F,41,DRAFT
SHIPREPAIROFFICER,Y,M,37,DRAFT
TEACHER,N,F,61,DRAFT
SHIPREPAIROFFICER,Y,M,42,DRAFT
SHIPREPAIROFFICER,Y,F,42,DRAFT
SECURITYFORCE,Y,M,57,DRAFT
TEACHER,N,M,38,DRAFT
SHIPREPAIROFFICER,Y,M,64,DRAFT
SHIPREPAIROFFICER,Y,M,38,DRAFT
TEACHER,N,M,50,DRAFT
TEACHER,N,F,55,DRAFT
SHIPREPAIROFFICER,Y,M,57,DRAFT
SHIPREPAIROFFICER,Y,F,65,DRAFT
SECURITYFORCE,Y,M,45,DRAFT
SHIPREPAIROFFICER,Y,M,59,DRAFT
TEACHER,N,M,43,DRAFT
SHIPREPAIROFFICER,Y,M,59,DRAFT
SECURITYFORCE,Y,M,50,DRAFT
TRADER,N,M,58,DRAFT
BANKING,N,M,55,DRAFT
SHIPREPAIROFFICER,Y,F,45,DRAFT
SECURITYFORCE,Y,M,45,DRAFT
TEACHER,N,F,44,DRAFT
SELFEMPLOYED,N,M,57,DRAFT
SHIPREPAIROFFICER,Y,F,59,DRAFT
SHIPREPAIROFFICER,Y,F,56,DRAFT
SHIPREPAIROFFICER,Y,M,44,DRAFT
SHIPREPAIROFFICER,Y,M,40,DRAFT
FASHIONDESIGNER,N,M,45,DRAFT
DRIVINGINSTRUCTOR,Y,M,50,DRAFT
SHIPREPAIROFFICER,Y,M,42,DRAFT
SHIPREPAIROFFICER,Y,M,51,DRAFT
SHIPREPAIROFFICER,Y,M,51,DRAFT
SHIPREPAIROFFICER,Y,M,39,DRAFT
SHIPREPAIROFFICER,Y,M,51,DRAFT
SHIPREPAIROFFICER,Y,M,60,DRAFT
SHIPREPAIROFFICER,Y,F,42,DRAFT
SHIPREPAIROFFICER,Y,M,49,DRAFT
TRADER,N,F,46,DRAFT
TEACHER,N,F,47,DRAFT
OTHER,N,F,47,DRAFT
SHIPREPAIROFFICER,Y,M,41,DRAFT
DRIVINGINSTRUCTOR,Y,M,51,DRAFT
HEALTHWORKER,N,F,45,DRAFT
SHIPREPAIROFFICER,Y,M,54,DRAFT
ACCOUNTSCLERK,N,M,54,DRAFT
NURSING,N,F,40,DRAFT
TEACHER,N,M,51,DRAFT
SHIPREPAIROFFICER,Y,M,46,DRAFT
SHIPREPAIROFFICER,Y,M,38,DRAFT
SHIPREPAIROFFICER,Y,F,44,DRAFT
SHIPREPAIROFFICER,Y,M,36,DRAFT
SHIPREPAIROFFICER,Y,M,45,DRAFT
SHIPREPAIROFFICER,Y,F,40,DRAFT
SHIPREPAIROFFICER,Y,M,43,DRAFT
SHIPREPAIROFFICER,Y,M,38,DRAFT
SHIPREPAIROFFICER,Y,M,51,DRAFT
ACCOUNTSCLERK,N,M,52,DRAFT
SHIPREPAIROFFICER,Y,M,67,DRAFT
SHIPREPAIROFFICER,Y,M,37,DRAFT
SHIPREPAIROFFICER,Y,M,49,DRAFT
SHIPREPAIROFFICER,Y,M,51,DRAFT
SHIPREPAIROFFICER,Y,M,40,DRAFT
STUDENT,N,M,41,DRAFT
DRIVINGINSTRUCTOR,Y,M,45,DRAFT
SHIPREPAIROFFICER,Y,M,58,DRAFT
TEACHER,N,F,62,DRAFT
TRADER,N,F,58,DRAFT
TEACHER,N,M,50,DRAFT
SECURITYFORCE,Y,M,41,DRAFT
SHIPREPAIROFFICER,Y,M,51,DRAFT
SECURITYFORCE,Y,M,45,DRAFT
SHIPREPAIROFFICER,Y,M,41,DRAFT
SHIPREPAIROFFICER,Y,M,40,DRAFT
SELFEMPLOYED,N,M,56,DRAFT
BUSINESSMAN/WOMAN,N,M,62,DRAFT
SHIPREPAIROFFICER,Y,M,53,DRAFT
SHIPREPAIROFFICER,Y,M,52,DRAFT
ACCOUNTSCLERK,N,M,47,DRAFT
SHIPREPAIROFFICER,Y,M,38,DRAFT
SHIPREPAIROFFICER,Y,M,48,DRAFT
SHIPREPAIROFFICER,Y,M,45,DRAFT
SHIPREPAIROFFICER,Y,M,53,DRAFT
BUSINESSMAN/WOMAN,N,M,60,DRAFT
SHIPREPAIROFFICER,Y,M,54,DRAFT
BANKING,N,M,59,DRAFT
SHIPREPAIROFFICER,Y,M,56,DRAFT
SHIPREPAIROFFICER,Y,M,40,DRAFT
SHIPREPAIROFFICER,Y,M,43,DRAFT
DRIVINGINSTRUCTOR,Y,M,52,DRAFT
SHIPREPAIROFFICER,Y,F,39,DRAFT
TEACHER,N,F,43,DRAFT
LABTECHNICIAN,Y,M,48,DRAFT
SHIPREPAIROFFICER,Y,M,48,DRAFT
TEACHER,N,M,39,DRAFT
SHIPREPAIROFFICER,Y,F,60,DRAFT
SHIPREPAIROFFICER,Y,F,39,DRAFT
ENGINEER,Y,M,46,DRAFT
DRIVINGINSTRUCTOR,Y,M,40,DRAFT
TEACHER,N,F,42,DRAFT
SHIPREPAIROFFICER,Y,F,39,DRAFT
SHIPREPAIROFFICER,Y,F,67,DRAFT
SECURITYFORCE,Y,M,43,DRAFT
TEACHER,N,F,38,DRAFT
SHIPREPAIROFFICER,Y,M,47,DRAFT
DRIVINGINSTRUCTOR,Y,M,57,DRAFT
SHIPREPAIROFFICER,Y,M,68,DRAFT
TEACHER,N,M,37,DRAFT
DRIVINGINSTRUCTOR,Y,M,59,DRAFT
SHIPREPAIROFFICER,Y,M,41,DRAFT
SHIPREPAIROFFICER,Y,M,46,DRAFT
SECRETARY,N,F,41,DRAFT
SHIPREPAIROFFICER,Y,M,37,DRAFT
SECURITYFORCE,Y,M,67,DRAFT
NURSING,N,F,39,DRAFT
DRIVINGINSTRUCTOR,Y,M,41,DRAFT
NURSING,N,F,40,DRAFT
NURSING,N,M,43,DRAFT
SHIPREPAIROFFICER,Y,M,64,DRAFT
SHIPREPAIROFFICER,Y,M,35,DRAFT
SHIPREPAIROFFICER,Y,M,71,DRAFT
SHIPREPAIROFFICER,Y,M,34,DRAFT
TEACHER,N,F,40,DRAFT
SHIPREPAIROFFICER,Y,M,37,DRAFT
SHIPREPAIROFFICER,Y,M,65,DRAFT
SHIPREPAIROFFICER,Y,M,63,DRAFT
SHIPREPAIROFFICER,Y,M,45,DRAFT
TEACHER,N,M,35,DRAFT
SECURITYFORCE,Y,M,50,DRAFT
TEACHER,N,F,60,DRAFT
HEALTHWORKER,N,M,38,DRAFT
SECURITYFORCE,Y,M,41,DRAFT
TEACHER,N,M,36,DRAFT
SHIPREPAIROFFICER,Y,F,57,DRAFT
TEACHER,N,F,51,DRAFT
SHIPREPAIROFFICER,Y,F,35,DRAFT
SHIPREPAIROFFICER,Y,F,43,DRAFT
TEACHER,N,F,38,DRAFT
TEACHER,N,M,40,DRAFT
TRADER,N,F,50,DRAFT
TEACHER,N,M,40,DRAFT
TEACHER,N,M,36,DRAFT
NURSING,N,M,60,DRAFT
ACCOUNTANT,N,F,49,DRAFT
SHIPREPAIROFFICER,Y,M,65,DRAFT
NURSING,N,M,40,DRAFT
SHIPREPAIROFFICER,Y,M,47,DRAFT
NURSING,N,F,40,DRAFT
SECRETARY,N,F,43,DRAFT
SECURITYFORCE,Y,M,37,DRAFT
SHIPREPAIROFFICER,Y,M,44,DRAFT
TEACHER,N,M,35,DRAFT
SHIPREPAIROFFICER,Y,M,40,DRAFT
SHIPREPAIROFFICER,Y,M,40,DRAFT
SHIPREPAIROFFICER,Y,M,54,DRAFT
CIVILSERVANT,N,F,39,DRAFT
SHIPREPAIROFFICER,Y,F,55,DRAFT
DRIVINGINSTRUCTOR,Y,M,65,DRAFT
SHIPREPAIROFFICER,Y,M,61,DRAFT
NURSING,N,F,37,DRAFT
SHIPREPAIROFFICER,Y,M,36,DRAFT
SHIPREPAIROFFICER,Y,M,53,DRAFT
SHIPREPAIROFFICER,Y,M,46,DRAFT
SALESREPRESENTATIVE,N,M,35,DRAFT
SECRETARY,N,F,45,DRAFT
TEACHER,N,F,39,DRAFT
TEACHER,N,F,39,DRAFT
SHIPREPAIROFFICER,Y,M,58,DRAFT
SHIPREPAIROFFICER,Y,F,40,DRAFT
STUDENT,N,F,38,DRAFT
SHIPREPAIROFFICER,Y,M,39,DRAFT
BANKING,N,M,46,DRAFT
SECURITYFORCE,Y,M,44,DRAFT
SHIPREPAIROFFICER,Y,M,57,DRAFT
TEACHER,N,M,60,DRAFT
SHIPREPAIROFFICER,Y,M,35,DRAFT
SECRETARY,N,F,43,DRAFT
CIVILSERVANT,N,M,47,DRAFT
SHIPREPAIROFFICER,Y,M,53,DRAFT
SECRETARY,N,F,44,DRAFT
SHIPREPAIROFFICER,Y,M,51,DRAFT
SHIPREPAIROFFICER,Y,M,54,DRAFT
SHIPREPAIROFFICER,Y,M,58,DRAFT
SHIPREPAIROFFICER,Y,M,38,DRAFT
SECURITYFORCE,Y,M,39,DRAFT
SHIPREPAIROFFICER,Y,F,48,DRAFT
SECURITYFORCE,Y,M,39,DRAFT
ENGINEER,Y,M,47,DRAFT
SHIPREPAIROFFICER,Y,M,55,DRAFT
TEACHER,N,F,48,DRAFT
SHIPREPAIROFFICER,Y,M,46,DRAFT
SHIPREPAIROFFICER,Y,M,57,DRAFT
SHIPREPAIROFFICER,Y,M,43,DRAFT
SHIPREPAIROFFICER,Y,F,45,DRAFT
SHIPREPAIROFFICER,Y,M,48,DRAFT
SECURITYFORCE,Y,M,48,DRAFT
SHIPREPAIROFFICER,Y,F,67,DRAFT
ACCOUNTANT,N,M,53,DRAFT
SHIPREPAIROFFICER,Y,M,53,DRAFT
SHIPREPAIROFFICER,Y,M,47,DRAFT
SHIPREPAIROFFICER,Y,M,50,DRAFT
SHIPREPAIROFFICER,Y,F,40,DRAFT
SHIPREPAIROFFICER,Y,F,41,DRAFT
SHIPREPAIROFFICER,Y,M,60,DRAFT
STUDENT,N,M,34,DRAFT
CIVILSERVANT,N,M,42,DRAFT
SHIPREPAIROFFICER,Y,M,39,DRAFT
SHIPREPAIROFFICER,Y,M,47,DRAFT
SHIPREPAIROFFICER,Y,M,62,DRAFT
SECRETARY,N,M,45,DRAFT
SHIPREPAIROFFICER,Y,F,43,DRAFT
SALESREPRESENTATIVE,N,M,48,DRAFT
SECURITYFORCE,Y,M,47,DRAFT
ACCOUNTANT,N,M,59,DRAFT
CIVILSERVANT,N,F,52,DRAFT
SHIPREPAIROFFICER,Y,F,42,DRAFT
TEACHER,N,M,43,DRAFT
TEACHER,N,M,45,DRAFT
SECURITYFORCE,Y,M,64,DRAFT
SECRETARY,N,F,41,DRAFT
TEACHER,N,F,43,DRAFT
TEACHER,N,F,37,DRAFT
NURSING,N,F,39,DRAFT
TEACHER,N,F,41,DRAFT
TEACHER,N,F,64,DRAFT
STUDENT,N,F,38,DRAFT
DRIVINGINSTRUCTOR,Y,M,47,DRAFT
TEACHER,N,F,62,DRAFT
DRIVINGINSTRUCTOR,Y,M,56,DRAFT
FACTORYWORKER,Y,M,60,DRAFT
TEACHER,N,F,38,DRAFT
SHIPREPAIROFFICER,Y,M,36,DRAFT
NURSING,N,F,38,DRAFT
SECRETARY,N,F,44,DRAFT
SHIPREPAIROFFICER,Y,F,37,DRAFT
NURSING,N,F,35,DRAFT
STUDENT,N,M,41,DRAFT
BUSINESSMAN/WOMAN,N,M,52,DRAFT
BANKING,N,M,40,DRAFT
SHIPREPAIROFFICER,Y,F,36,DRAFT
SECURITYFORCE,Y,M,38,DRAFT
SHIPREPAIROFFICER,Y,M,57,DRAFT
SHIPREPAIROFFICER,Y,M,37,DRAFT
SHIPREPAIROFFICER,Y,M,42,DRAFT
TEACHER,N,F,36,DRAFT
TEACHER,N,F,48,DRAFT
NURSING,N,F,39,DRAFT
SHIPREPAIROFFICER,Y,M,45,DRAFT
SHIPREPAIROFFICER,Y,M,38,DRAFT
SHIPREPAIROFFICER,Y,M,46,DRAFT
HEALTHWORKER,N,F,42,DRAFT
SHIPREPAIROFFICER,Y,M,60,DRAFT
SECURITYFORCE,Y,M,41,DRAFT
SECURITYFORCE,Y,M,49,DRAFT
SHIPREPAIROFFICER,Y,M,51,DRAFT
SECURITYFORCE,Y,M,55,DRAFT
TEACHER,N,F,51,DRAFT
SECURITYFORCE,Y,M,36,DRAFT
SHIPREPAIROFFICER,Y,F,53,DRAFT
ACCOUNTSCLERK,N,F,36,DRAFT
SHIPREPAIROFFICER,Y,M,45,DRAFT
SHIPREPAIROFFICER,Y,F,43,DRAFT
TRADER,N,F,49,DRAFT
SHIPREPAIROFFICER,Y,M,50,DRAFT
SHIPREPAIROFFICER,Y,M,41,DRAFT
SHIPREPAIROFFICER,Y,F,59,DRAFT
SHIPREPAIROFFICER,Y,M,47,DRAFT
SHIPREPAIROFFICER,Y,M,35,DRAFT
SHIPREPAIROFFICER,Y,M,50,DRAFT
SHIPREPAIROFFICER,Y,M,69,DRAFT
TEACHER,N,M,43,DRAFT
CIVILENGINEERING,Y,M,57,DRAFT
ACCOUNTSCLERK,N,M,45,DRAFT
ELECTRICIAN,Y,M,60,DRAFT
SHIPREPAIROFFICER,Y,M,42,DRAFT
BUSINESSMAN/WOMAN,N,M,55,DRAFT
SHIPREPAIROFFICER,Y,M,46,DRAFT
DRIVINGINSTRUCTOR,Y,M,39,DRAFT
TEACHER,N,F,70,DRAFT
ADMINISTRATOR,N,F,46,DRAFT
SHIPREPAIROFFICER,Y,M,37,DRAFT
SHIPREPAIROFFICER,Y,F,33,DRAFT
SECRETARY,N,F,33,DRAFT
SHIPREPAIROFFICER,Y,M,58,DRAFT
ADMINISTRATOR,N,M,41,DRAFT
SHIPREPAIROFFICER,Y,F,38,DRAFT
SHIPREPAIROFFICER,Y,M,47,DRAFT
AUDITOR,N,F,37,DRAFT
SHIPREPAIROFFICER,Y,M,48,DRAFT
SHIPREPAIROFFICER,Y,F,32,DRAFT
SHIPREPAIROFFICER,Y,F,40,DRAFT
BUSINESSMAN/WOMAN,N,F,44,DRAFT
TEACHER,N,F,35,DRAFT
SHIPREPAIROFFICER,Y,M,36,DRAFT
TEACHER,N,F,49,DRAFT
BUSINESSMAN/WOMAN,N,M,48,DRAFT
SHIPREPAIROFFICER,Y,M,47,DRAFT
SHIPREPAIROFFICER,Y,M,48,DRAFT
SECRETARY,N,F,44,DRAFT
TRADER,N,F,51,DRAFT
NURSING,N,F,37,DRAFT
SHIPREPAIROFFICER,Y,M,52,DRAFT
SHIPREPAIROFFICER,Y,M,44,DRAFT
SHIPREPAIROFFICER,Y,M,49,DRAFT
CIVILSERVANT,N,F,58,DRAFT
HEALTHWORKER,N,F,50,DRAFT
TEACHER,N,M,46,DRAFT
SEAMSTRESS/TAILORING,N,F,54,DRAFT
DRIVINGINSTRUCTOR,Y,M,48,DRAFT
TEACHER,N,F,41,DRAFT
CIVILSERVANT,N,M,47,DRAFT
SHIPREPAIROFFICER,Y,M,46,DRAFT
STUDENT,N,M,48,DRAFT
SHIPREPAIROFFICER,Y,M,61,DRAFT
SHIPREPAIROFFICER,Y,F,48,DRAFT
TEACHER,N,M,62,DRAFT
SHIPREPAIROFFICER,Y,M,72,DRAFT
SHIPREPAIROFFICER,Y,M,75,DRAFT
DRIVINGINSTRUCTOR,Y,M,55,DRAFT
EDUCATIONIST,N,M,57,DRAFT
CONSULTANCY,N,M,49,DRAFT
OTHER,N,M,46,DRAFT
STUDENT,N,M,31,DRAFT
ACCOUNTANT,N,M,40,DRAFT
SHIPREPAIROFFICER,Y,M,44,DRAFT
PHYSIOTHERAPY,N,M,36,DRAFT
OTHER,N,F,43,DRAFT
NURSING,N,F,35,DRAFT
NURSING,N,F,57,DRAFT
TEACHER,N,M,51,CONVERTED
SHIPREPAIROFFICER,Y,M,40,DRAFT
SECURITYFORCE,Y,M,48,DRAFT
BUILDINGCONTRACTOR,Y,M,44,DRAFT
TEACHER,N,M,75,DRAFT
TEACHER,N,M,51,DRAFT
SECURITYFORCE,Y,M,50,DRAFT
TEACHER,N,F,36,DRAFT
OTHER,N,M,79,DRAFT
SHIPREPAIROFFICER,Y,F,33,DRAFT
POLICE,Y,M,48,DRAFT
TEACHER,N,F,56,DRAFT
SHIPREPAIROFFICER,Y,M,61,DRAFT
TEACHER,N,M,45,DRAFT
DRIVINGINSTRUCTOR,Y,M,59,DRAFT
OTHER,N,F,41,DRAFT
PUBLICSERVANT,N,F,61,DRAFT
LABOURER,Y,M,43,DRAFT
BUSINESSMAN/WOMAN,N,F,58,DRAFT
TEACHER,N,F,32,DRAFT
PHYSIOTHERAPY,N,M,46,DRAFT
NURSING,N,F,40,DRAFT
TEACHER,N,M,36,DRAFT
ELECTRICIAN,Y,M,53,DRAFT
DRIVER,N,M,54,DRAFT
TEACHER,N,M,46,DRAFT
SHIPREPAIROFFICER,Y,M,36,DRAFT
ACCOUNTANT,N,M,38,DRAFT
NURSING,N,F,36,DRAFT
TEACHER,N,F,37,DRAFT
OTHER,N,M,41,DRAFT
OTHER,N,M,53,DRAFT
SHIPREPAIROFFICER,Y,M,57,DRAFT
LABOURER,Y,M,43,DRAFT
NURSING,N,M,33,DRAFT
NURSING,N,F,45,DRAFT
NURSING,N,F,35,DRAFT
NURSING,N,F,39,DRAFT
HEALTHWORKER,N,F,35,DRAFT
NURSING,N,F,34,DRAFT
PHYSIOTHERAPY,N,F,37,DRAFT
HEALTHWORKER,N,F,44,DRAFT
OTHER,N,M,58,DRAFT
POLICE,Y,F,66,DRAFT
OTHER,N,M,49,DRAFT
BUSINESSMAN/WOMAN,N,M,45,DRAFT
NAVYOFFICER,Y,M,32,DRAFT
PHYSIOTHERAPY,N,M,51,DRAFT
SECURITYFORCE,Y,M,38,DRAFT
NURSING,N,F,42,DRAFT
COOK,Y,M,47,DRAFT
STUDENT,N,F,33,DRAFT
SALESREPRESENTATIVE,N,F,33,DRAFT
TEACHER,N,F,35,DRAFT
COOK,Y,M,38,DRAFT
SELFEMPLOYED,N,M,48,DRAFT
PUBLICHEALTHOFFICER,N,M,43,DRAFT
TEACHER,N,M,34,DRAFT
BUSINESSWOMAN,N,F,43,DRAFT
OTHER,N,M,65,DRAFT
TEACHER,N,M,40,DRAFT
TEACHER,N,M,40,DRAFT
REVENUEOFFICER,N,F,35,DRAFT
TEACHER,N,F,70,DRAFT
POLICE,Y,F,51,DRAFT
TEACHER,N,M,39,DRAFT
SHIPREPAIROFFICER,Y,F,48,DRAFT
PHYSIOTHERAPY,N,M,33,DRAFT
PHYSIOTHERAPY,N,M,44,DRAFT
TRADER,N,M,46,DRAFT
ELECTRICIAN,Y,M,40,DRAFT
PHYSIOTHERAPY,N,M,39,DRAFT
STUDENT,N,F,34,DRAFT
OTHER,N,M,34,DRAFT
SECURITYFORCE,Y,M,42,DRAFT
SECURITYFORCE,Y,M,68,DRAFT
SHIPREPAIROFFICER,Y,M,54,DRAFT
CASHIER,N,F,41,DRAFT
OTHER,N,M,44,DRAFT
WELDER,N,M,44,DRAFT
TEACHER,N,M,59,DRAFT
TRADER,N,F,41,DRAFT
OTHER,N,F,40,DRAFT
MARKETINGPERSONEL,N,M,45,DRAFT
SECURITYFORCE,Y,M,63,DRAFT
SHIPREPAIROFFICER,Y,M,52,DRAFT
SHIPREPAIROFFICER,Y,M,56,DRAFT
DRIVER,N,M,65,DRAFT
SECURITYFORCE,Y,M,66,DRAFT
LABTECHNICIAN,Y,M,42,DRAFT
PHYSIOTHERAPY,N,M,38,DRAFT
SECURITYFORCE,Y,M,36,DRAFT
TEACHER,N,M,39,DRAFT
BANKER,N,F,39,DRAFT
CIVILSERVANT,N,M,56,DRAFT
OTHER,N,F,41,DRAFT
OTHER,N,F,40,DRAFT
TEACHER,N,M,42,DRAFT
OTHER,N,M,60,DRAFT
TYPIST,N,F,52,DRAFT
TEACHER,N,F,38,DRAFT
OTHER,N,M,43,DRAFT
TEACHER,N,F,67,DRAFT
OTHER,N,M,55,DRAFT
OTHER,N,M,39,DRAFT
TEACHER,N,M,80,DRAFT
